age,income,credit_score,loan_amount,employment_years,default
22,18000,520,8000,1,1
24,22000,540,9000,1,1
26,25000,560,10000,2,1
28,28000,580,11000,2,1
30,30000,590,12000,3,1
32,32000,600,14000,3,1
25,27000,570,10000,2,1
29,31000,610,13000,3,1
27,24000,550,9000,1,1
31,35000,620,15000,4,1
23,20000,530,7000,1,1
33,36000,610,16000,4,1
35,50000,720,15000,5,0
36,48000,680,18000,6,0
38,52000,700,17000,7,0
40,60000,750,20000,8,0
42,65000,760,18000,9,0
45,70000,780,20000,10,0
48,80000,790,22000,12,0
52,90000,800,25000,15,0
34,45000,670,14000,6,0
37,55000,710,19000,7,0
39,58000,730,21000,8,0
41,62000,740,22000,9,0
44,68000,770,21000,11,0
47,75000,785,23000,13,0
50,85000,795,24000,14,0
55,95000,810,28000,18,0
43,66000,765,20000,10,0
46,72000,775,22000,12,0
